Counter-Strike: Global Offensive,21/08/2012,167,2644404,402313,22494,6502,50000000-100000000,0
Dota 2,9/07/2013,0,863507,142079,23944,801,100000000-200000000,0
Team Fortress 2,10/10/2007,520,515879,34036,8495,623,20000000-50000000,0
PLAYERUNKNOWN'S BATTLEGROUNDS,21/12/2017,37,496184,487076,22938,12434,50000000-100000000,26.99
Garry's Mod,29/11/2006,29,363721,16433,12422,1875,10000000-20000000,6.99
Grand Theft Auto V,13/04/2015,77,329061,139308,9837,4834,10000000-20000000,24.99
PAYDAY 2,13/08/2013,1130,308657,56523,3975,890,10000000-20000000,7.49
Unturned,7/07/2017,46,292574,31482,3248,413,20000000-50000000,0
Terraria,16/05/2011,88,255600,7797,5585,1840,5000000-10000000,6.99
Left 4 Dead 2,19/11/2009,70,251789,8418,1615,566,10000000-20000000,7.19
Tom Clancy's Rainbow Six® Siege,1/12/2015,0,251178,59620,7504,2543,5000000-10000000,16.99
Rocket League®,7/07/2015,88,242561,21816,5825,1462,5000000-10000000,14.99
The Elder Scrolls V: Skyrim,10/11/2011,75,237303,14951,7089,3885,10000000-20000000,9.99
Warframe,25/03/2013,187,226541,20268,5845,394,20000000-50000000,0
Rust,8/02/2018,48,220370,53709,9352,2234,5000000-10000000,27.79
The Witcher® 3: Wild Hunt,18/05/2015,78,202930,4798,3068,2002,5000000-10000000,24.99
Euro Truck Simulator 2,12/10/2012,67,176769,5825,4942,1413,5000000-10000000,14.99
Paladins®,8/05/2018,58,169580,32407,1595,407,10000000-20000000,0
ARK: Survival Evolved,27/08/2017,32,145035,66603,14154,1470,5000000-10000000,44.99
Borderlands 2,20/09/2012,69,144595,11021,3276,1139,5000000-10000000,19.99
Dead by Daylight,14/06/2016,128,140721,44985,5904,585,5000000-10000000,14.99
Portal 2,18/04/2011,51,138220,1891,1102,520,10000000-20000000,7.19
Sid Meier's Civilization® V,23/09/2010,286,129030,5565,4760,1797,5000000-10000000,19.99
Counter-Strike,1/11/2000,0,124534,3339,17612,317,10000000-20000000,7.19
Life is Strange - Episode 1,29/01/2015,60,118634,4496,412,145,5000000-10000000,0
DayZ,13/12/2018,0,118435,77169,7235,2798,2000000-5000000,33.99
Stardew Valley,26/02/2016,40,118217,3761,2868,1728,2000000-5000000,10.99
Z1 Battle Royale,28/02/2018,0,111434,91664,3142,162,10000000-20000000,0
The Forest,30/04/2018,45,110460,8881,2417,1127,2000000-5000000,15.49
Fallout 4,9/11/2015,84,110376,45377,4822,2904,5000000-10000000,19.99
Don't Starve Together,21/04/2016,0,108601,4206,1070,404,5000000-10000000,10.99
Doki Doki Literature Club!,6/10/2017,0,108556,3588,162,99,2000000-5000000,0
Arma 3,12/09/2013,104,105034,12524,18823,3621,2000000-5000000,29.99
DARK SOULS™ III,11/04/2016,43,100412,9953,4222,1776,2000000-5000000,39.99
Undertale,15/09/2015,0,97832,4496,679,443,2000000-5000000,6.99
Tomb Raider,4/03/2013,50,93509,4103,527,475,5000000-10000000,14.99
Insurgency,22/01/2014,100,92355,9570,712,245,2000000-5000000,6.99
Subnautica,23/01/2018,17,90155,5413,1446,937,2000000-5000000,19.49
War Thunder,15/08/2013,46,83852,22166,4200,297,10000000-20000000,0
Robocraft,24/08/2017,43,80360,30987,1369,211,10000000-20000000,0
BioShock Infinite,25/03/2013,80,79442,3846,614,519,2000000-5000000,19.99
Dying Light,26/01/2015,68,78192,6176,2033,1299,2000000-5000000,24.99
Counter-Strike: Source,1/11/2004,147,76640,3497,6842,400,10000000-20000000,7.19
Mount & Blade: Warband,31/03/2010,80,75872,2213,7932,1884,2000000-5000000,14.99
Starbound,22/07/2016,51,74162,7816,3556,2055,2000000-5000000,11.99
Brawlhalla,17/10/2017,39,73268,14489,724,146,10000000-20000000,0
The Binding of Isaac: Rebirth,4/11/2014,403,72830,1840,4583,3236,2000000-5000000,10.99
MONSTER HUNTER: WORLD,9/08/2018,50,72029,35294,6512,5372,5000000-10000000,49.99
Path of Exile,23/10/2013,120,71593,6117,5263,492,10000000-20000000,0
DOOM,12/05/2016,54,68536,5156,751,560,2000000-5000000,14.99
Half-Life 2,16/11/2004,33,67902,2419,691,402,10000000-20000000,7.19
Cities: Skylines,10/03/2015,97,67553,6005,3225,444,5000000-10000000,22.99
Fallout: New Vegas,21/10/2010,75,66756,3149,2485,1431,2000000-5000000,7.99
Heroes & Generals,18/10/2016,0,65856,34416,1752,76,10000000-20000000,0
Wallpaper Engine,16/11/2018,17,63623,1947,1731,542,5000000-10000000,2.79
